text
maiM mohana ke sAtha geMda khelane jA rahA hU.N|
kyA tuma ise rAja़ rakha sakate ho?
evaresTa parvata duniyA kA sabase U.NchA parvata shikhara hai|
Apa kahA.N baiThanA chAheMge?
agara tumhAre pAsa kAla yaMtra hotA...
tuma kaba lauTa kara Aoge?
vaha apane dosta ke sAtha beMcha para baiThA hai|
vaha hara subaha saira karane jAtA hai|
usake pAsa bahuta sArI itihAsa kI kitAbeM haiM|
mere pAsa eka kuttA hai|
shahara meM sabase achChA hoTala kauna sA hai?
isa saptAha kauna sI filmeM lagIM huIM haiM?
mujhe kala kI ChuTTI lene dIjie|
mujhe piyAno bajAnA pasaMda hai|
iMglaiMDa kI rAjadhAnI laMdana themsa nadI ke kinAre hai|
pitAjI ne mujhe sammelana kakSha se nikalane kA ishArA diyA|
pitAjI mujhe sammelana kakSha se nikalane kA ishArA de rahe haiM|
tumheM ina meM se jo bhI pasaMda hai kha़rIda lo magara tuma donoM nahIM kha़rIda sakate|
isa bAta ko kyoMki kevala eka hI inasAna jAnatA hai yaha bahuta mahatvapUrNa nahIM hai|
yaha eka kitAba hai|
yaha kitAba hai|
"hamane adhyApakajI se pUChA: ""hama ApakI shAdI meM A sakate haiM kyA?"""
yaha merA kuttA hai|
para mujhe kabAba pakAnA nahIM AtA!
tuma jisake atIta ke bAre meM kuCha bhI nahIM jAnate ho aise inasAna para vishvAsa mata karo|
maiM naukarI badalane kI socha rahI hU.N|
momabattI apane Apa hI bujha gaI|
mujhe bharosA hai ki isa taraha kI davAI tumhArI bImArI ke lie asaradAra hogI|
mere pAsa ja़yAdA paise nahIM haiM|
tumheM apane bolane para ja़yAdA dhyAna karanA chahie|
jitanA jaldI utanA achChA|
dAdAjI aksara akhabAra paDha़te paDha़te sara hilAte rahate haiM|
rauMgarauMga kI mammI eka achChI mammI kI taraha bilakula bhI nahIM hai|
"chala pa.Dane ke samaya ""Tana Tana"" ghaMTI sI AvAja़ karatI hai isa hI lie ""Tana Tana"" gA.DI bulAI jAtI hai|"
yaha jaikeTa mahaMgA nahIM hai bahuta sastA hai|
maChaliyoM ko tairanA AtA hai|
ina do haftoM meM eka bhI bU.Nda bArisha nahIM pa.DI hai|
merI bIvI DaॉkTara hai|
kyA maiM kamarA sAfa kara sakatI hU.N?
tumheM vaha kitAba bilakula bhI kha़rIdane kI ja़rUrata nahIM|
mere kha़yAla se videshI bhAShAe.N bahuta hI dilachaspa hotIM haiM|
kisAna vasanta ke mausama meM bIja bote haiM|
isa la.Dake ke jeba meM eka seva hai|
hAtha Upara karo!
kyA tuma mujhe u.DanA sikhA sakate ho?
kyA tuma mujhe chorI karanA sikhA sakate ho?
kyA tuma mujhe sikhA sakate ho?
use TIvI para Tenisa dekhanA bahuta pasaMda hai|
kala bArabarA kI gA.DI chalAne kI parIkShA kaisI gaI?
subaha kI bhAgAbhAgI kA samaya basa shurU hone hI vAlA hai hamako jalda hI chala pa.DeMnA chAhie nahIM to hama Traifika jAma meM pha.Nsa jAe.Nge|
mujhe tarabUja़ khAnA bahuta pasaMda hai|
para vaha bahuta hI achChe nasIba vAlA thA|
spaina ke logoM ko rAta meM saira karake ThaMDaka lenA bahuta hI pasaMda hai|
maiM socha rahA hU.N ki agale hafte vainakUvara jAkara rishtedAroM se milU.N|
vaha pahale kI taraha ha.Nsamukha nahIM rahA|
asaliyata jAnane vAle kevala gine-chune loga haiM|
bolo tuma aisA kyoM karanA chAhate ho|
kala kA mausama kaisA thA?
usake alAvA bAkI saba isa prashna kA uttara de sakate haiM|
kala kA mausama kaisA hogA kahanA mushkila hai|
maiM isa samasyA ko sulajhAU.NgA|
mujhe isa bAta kA paChatAvA hai ki maiMne usakA ThIka se baratAva nahIM kiyA|
piChale kuCha sAloM se mausama bahuta ajIba hai|
ghAsa para chalanA manA hai|
ghAsa para mata chalie|
agara vaha isa taraha mana lagAkara paDha़tA rahegA to parIkShA meM avashya pAsa hogA|
tuma videsha gae hue ho kyA?
Apa videsha gae hue haiM kyA?
tU videsha gayA huA hai kyA?
hama skUla ke pAsa rahate haiM|
maiM pUrI rAta roI|
yaha kyA hai?
maiM sTorarUma kA tAlA lagAnA bhUla gayA|
maiM tho.DI jApAnI bolanA jAnatA hU.N|
usake pAsa bahuta sArA kAma hai|
hAla hI meM mere pAsa kitAbeM paDha़ne ke lie tho.DA bhI samaya nahIM milA hai|
tuma kyA pInA chAhte ho?
use chInI vAlI kaॉfI pInA pasaMda nahIM hai|
merI ko nahIM patA usase kyA kahe|
Apa kahA.N para kAma karate haiM?
(sAmAna) sArA bika chukA hai!
jaba pApA ghara vApasa Ae maiM TIvI dekha rahA thA|
mA.Nchoda!
kaina khAlI hai|
tujhe mAlUma nahIM vo do sAla pahale hI Tapaka gayelA thA?
agara tuma apane Apa para aisI chIja़eM likhavAte ho jo tuma khuda bhI nahIM samajha sakate to tuma kyA karoge agara tumheM anapekShita pariNAma mileMge?
use bahuta sArA paisA milA|
usakI skarTa aura jUtoM ke raMga bahuta milate haiM|
maiM bahuta thaka gayA hU.N aura nahIM chala sakatA|
mere kha़yAla se vaha samajhadAra inasAna hai|
tuma ja़rUra paChatAoge!
mere samaya meM bahuta se vidyArthI paDha़AI kare binA hI parIkShA pAsa kara lete the|
netAoM ko paisA kamAnA bahuta AtA hai|
bIsa sAla bIta gae haiM|
hamako shurU se aMta taka pUrI kahAnI sunAIye|
use vishvAsa hai ki vaha isa pratiyogitA meM avashya jItegA|
khi.DakI ke pAsa kha.DA vaha tumhArA prabaMdhaka hai kyA?
ApakA nAma kyA hai?
"tuma kama-se-kama ""dhanyavAda"" to bola sakate ho|"
maiMne abhI bhI gA.DI chalAnA nahIM sIkhA hai|
tumane kala rAta usako fona kiyA thA kyA?
ve jalda hI shAdI karane vAle haiM|
vaha logoM ko makkhana lagAnA bahuta jAnatA hai|
tumane Aja subaha nAshtA khAyA thA kyA?
maiM kala nadI kinAre maChaliyA.N paka.Dane gayA thA|
maiM jahA.N bhI jAtA hU.N hameshA apanA kaimarA le kara jAtA hU.N|
usane abhI abhI khAnA khAyA hai vaha bhUkhA kataI nahIM ko sakatA|
mUliyA.N gAjaroM se ja़yAdA mahaMgIM ho sakatI haiM|
kanADA jApAna se ba.DA hai|
maiM hokkAIdo gayA huA hU.N|
tIna bajane vAle haiM|
maiM faisalA kara chukA hU.N|
patA nahIM kyoM merA kAma para kabhI bhI mana nahIM lagatA|
usako eka hI kAma se dilachaspI hai aura vaha hai paisA ikaTThA karanA|
khAnA khAne ke bAda dA.NtoM ko sAfa karo|
khAnA khAne ke bAda dA.NtoM ko brasha karo|
usane vistRRita rUpa se apanI yojanA samajhAI|
kayoMki vaha paDha़AI nahIM karatA thA use skUla se nikAla diyA gayA|
maiM turaMta usake vahA.N gayA|
usane sigareTa pInA Cho.Dane kA faisalA kiyA|
merI shAdI pA.Ncha sAla pahale isI dina para huI thI|
choroM ne paise DhU.NDhane ke lie meja़ kI sArI darAja़eM khola DAlIM|
mere aMkala krikeTa ke shaukiyA khilA.DI haiM|
mere mAmA krikeTa ke shaukiyA khilA.DI haiM|
mere chAchA krikeTa ke shaukiyA khilA.DI haiM|
mere tAUjI krikeTa ke shaukiyA khilA.DI haiM|
yaha vaha gA.Nva hai jahA.N mere pitAjI paidA hue the|
tumhe ise rAja़ rakhanA chahie thA|
ve Taiksa sudhAra ka़AnUna ke pakSha meM haiM|
kala merA janmadina thA|
kala merA janmadina hai|
kala merA janmadina hai aura maiM satraha sAla kA ho jAU.NgA|
kala merA janmadina hai aura maiM satraha sAla kI ho jAU.NgI|
Aja merI bahana kA janmadina hai|
Aja merI dIdI kA janmadina hai|
Aja merA solahavA janmadina hai|
merA janmadina Aja se eka mahIne meM hai|
tuma kaise inasAna ho jo isa taraha ke kAma kara sakate ho?
unakI bAtachIta lagabhaga eka ghaMTe taka chalatI rahI|
usakI piyAno klAsa hara hafte eka bAra lagatI hai|
kuCha nahIM hai Daro mata!
yaha dukAna nau baje baMda ho jAtI hai|
